Month,Year,Canada,Mexico,Guatemala,El Salvador,Honduras,Nicaragua,Costa Rica,Panama,Jamaica,Dominican Rep,Trin/Tobago,Colombia,Venezuela ,Ecuador,Peru,Chile,Brazil ,Paraguay,Uruguay,Argentina,EU12,Sweden,Norway,Finland,Denmark,U.K.,Ireland,Luxembourg,Netherlands,France,Germany,Austria,Czech Rep,Hungary,Switzerland,Poland,Russia,Spain,Portugal,Italy,Greece,Turkey,Syria,Israel,Jordan,Kuwait,Saudi Arabia,India,Pakistan,Bangladesh,Sri Lanka ,Thailand,Malaysia,Singapore,Indonesia,Philippines,"China,PR",Korea,Hong Kong,Taiwan,Japan,Australia,New Zealand,Morocco,Algeria,Tunisia,Egypt,Cameroon,Senegal,Sierra Leone,Cote d'Ivoire,Ghana,Nigeria,Benin,Congo,Kenya,Tanzania,Mozambique,South Africa,Zambia
1,2002,1.590566927,9.644207459,9.175854789,8.971590422,19.10225283,16.09099709,451.9436278,0.945040602,63.70118091,32.64454577,6.60272484,2548.456837,1.471130969,26859.12697,3.422281041,657.9525588,2.931993425,5841.916618,19.76927208,2.053337905,1.11795222,9.874607629,8.584993445,1.057053317,8.161818726,0.701394893,1.144978762,1.100931451,1.096882764,1.101217829,1.077025776,1.096431994,34.43621995,297.7904681,1.589434808,4.047928066,41.42977575,1.152629445,1.131203306,1.113402099,1.151386499,2.073040563,12.36214899,4.34861393,0.701701851,0.2938837,3.459466673,50.30967332,67.93962298,65.68245239,112.7386716,44.00118166,3.671186755,1.718985234,12149.87474,55.57575528,7.923263061,1340.305313,7.240536741,32.97732999,119.6141175,1.921283245,2.319347922,10.98741662,73.82940457,1.452753241,5.027390088,699.5530926,697.0134782,2580.945209,742.9878715,1.171128329,167.9625898,740.8393774,993.3281529,98.43072717,987.8477464,29.81209804,11.90799032,6377.267872
2,2002,1.582741229,9.635313518,9.033299817,8.978593582,19.09828914,16.10188193,455.4453373,0.949592721,64.09426466,33.45904989,6.651368146,2539.899236,1.684509468,26680.42675,3.45405872,671.9320174,2.984515702,6015.680568,20.15209298,2.785544704,1.138230443,10.00564257,8.576126967,1.074633702,8.252287165,0.706960803,1.157897445,1.118959699,1.11178601,1.120000331,1.092723552,1.115298939,34.70545233,296.5239348,1.574761497,4.017645054,41.58073992,1.172480297,1.155133363,1.129611417,1.18483223,2.027840205,12.33172842,4.451288245,0.702518864,0.297558063,3.469558896,50.98927873,67.39490523,65.9662156,111.9612297,43.91754626,3.674913304,1.713748636,11846.26098,55.75858286,7.954541974,1342.107571,7.278662703,32.77447345,121.4594953,1.936976367,2.357633162,11.07713928,75.98789128,1.470861715,5.043710815,710.8091279,705.0933396,2650.70356,753.3572005,1.180395334,167.2110888,754.3181526,1009.756283,98.25585325,1010.083262,29.66728834,11.6986546,6312.017064
3,2002,1.571637708,9.608665939,8.996156969,8.977885744,19.18512249,16.22275854,458.3766114,0.951627733,64.60485801,33.25150141,6.71961595,2528.999659,1.741407542,26530.67005,3.433860505,656.7325417,2.893384241,5934.116083,20.87939204,3.292618863,1.129949903,9.768960648,8.461705096,1.06758238,8.188452734,0.708139943,1.146178607,1.114620054,1.100916351,1.113294307,1.089059868,1.111760866,34.25963996,289.4525839,1.563240627,3.949270071,41.70082808,1.161386834,1.147819061,1.12533401,1.154175071,2.015266119,12.44443089,4.45709608,0.704124669,0.299125019,3.492655579,51.10714669,66.80380403,66.27151807,113.4033469,43.62623251,3.670509996,1.722564418,11493.39462,55.63180629,8.00463215,1344.940981,7.341915872,33.18308141,119.7808697,1.899828329,2.293824586,10.95899062,77.68529175,1.48767015,5.060040047,709.9077382,703.1177983,2763.504533,752.6200101,1.176382075,169.6050136,751.0709497,1004.1389,98.39788162,1032.454806,30.16789766,11.69056166,6327.736703
4,2002,1.565367973,9.6627355,8.907844275,8.994998024,19.24119478,16.29994296,463.8677658,0.95694949,64.8007048,33.40458415,6.743964579,2500.078843,1.587145352,26286.59391,3.411171306,645.6161118,2.854200855,5898.096013,22.22945216,3.570107698,1.118358237,9.751978576,8.309620581,1.057833871,8.115190066,0.697338544,1.130348427,1.108768771,1.090847583,1.103557396,1.08479531,1.101980017,32.98173361,281.3551743,1.496137777,3.939502682,41.62769732,1.140133073,1.132886861,1.116888415,1.139756444,1.930441345,12.45832701,4.548302628,0.702423973,0.299798729,3.515763971,51.47285268,66.92469371,66.57621665,116.9480663,43.64448536,3.694622533,1.730762278,11040.50059,55.75366411,8.058178333,1339.549587,7.390803066,33.24281905,119.9724548,1.867557008,2.24104508,10.96199385,79.92714247,1.48712621,5.088337141,704.5600255,699.0637572,2769.603246,745.7922827,1.196949476,167.0884625,735.73311,986.0016178,98.85525394,1039.933058,30.38219969,11.10632823,6430.508852
5,2002,1.530862112,10.02354257,8.932172791,8.996615334,19.24116646,16.30546132,464.9474808,0.958603474,65.13539108,33.68977924,6.670036492,2534.428277,1.728360979,26159.11569,3.418319686,648.0934298,3.044532838,6100.00277,22.88335518,3.999157145,1.079467831,9.505484629,7.888925819,1.019984166,7.829767271,0.687390973,1.086874154,1.069723137,1.054054774,1.065333619,1.047095319,1.061751596,32.08357817,268.9598805,1.44800346,3.92852782,41.01391896,1.09770144,1.087002771,1.076486387,1.101414201,2.030706904,12.35403241,4.587945212,0.709763803,0.299085434,3.515763971,51.22985892,67.49716204,66.51043745,112.0774986,42.97341521,3.691036467,1.698021179,10574.64241,54.39787659,8.065609348,1277.781004,7.398648929,32.96662895,115.4268012,1.814167107,2.147685237,10.56753756,79.98410916,1.457537351,5.068287286,681.2916061,676.547983,2605.969114,719.2582984,1.199300748,166.7309863,712.4897318,935.8697773,97.43401711,1047.433904,30.34019899,10.17517204,6620.134318
6,2002,1.510855444,10.24292615,8.927578865,8.943636164,19.1392478,16.36618264,466.5237371,0.958316725,65.00908549,33.83288649,6.572001136,2582.777385,2.100838958,26073.19812,3.457869997,668.999063,3.319208825,6602.924676,23.49475672,4.205477192,1.036456397,9.035402836,7.463881062,0.980896455,7.514973398,0.675394031,1.040939064,1.029534346,1.014801408,1.022430803,1.00495808,1.018050884,30.65546329,264.2954734,1.389431908,4.037413529,41.03521442,1.053499146,1.040120402,1.03227832,1.058941454,2.212657212,12.20567613,4.573063755,0.711937403,0.298544299,3.524964672,50.78767851,67.07231372,66.09983243,109.1906356,42.45066777,3.689578942,1.683356535,10160.0957,54.89880858,8.075568407,1239.748695,7.402827731,32.33952244,112.9741849,1.748138631,2.01761867,10.38559623,81.09596779,1.423107002,5.063172084,652.3379743,655.2780736,2484.882633,683.5462336,1.206889804,169.2269812,673.3547101,888.8226779,96.70572951,1033.177085,30.17542424,10.0517703,6953.256237
7,2002,1.517451439,10.28861222,8.832767379,8.938058011,19.08993839,16.43861872,464.463336,0.957713995,64.2460588,33.87402368,6.55243398,2739.800586,2.254345199,26120.75795,3.512365088,689.1132106,3.55072896,7367.844955,28.51006419,4.045442803,1.000247221,8.872028499,7.208467687,0.946602174,7.265420702,0.647933911,1.006768865,0.988500733,0.9775442,0.984887513,0.966000383,0.981608747,28.84377135,267.5655745,1.420891814,4.121390461,40.93660289,1.021847681,1.000918341,0.992686264,1.037816954,2.364821512,12.42148552,4.347523577,0.714119086,0.296669929,3.51806226,50.11275635,66.2411158,65.73035829,110.1413113,41.58665178,3.693664278,1.656093234,10358.83415,54.96640716,8.090603316,1206.81684,7.403165625,31.74619015,108.4696114,1.794271329,2.051007305,10.23669318,81.57056874,1.379618889,5.060810633,627.0790444,625.2219506,2610.808013,665.9073871,1.210498812,169.5277329,636.6452852,834.4179014,97.48286431,1019.323218,29.90380935,9.903785584,7096.475664
8,2002,1.538112512,10.31431737,8.759726072,9.001623072,19.12681902,16.55703059,464.367128,0.957580741,64.47290112,34.49151918,6.523632165,2907.202391,2.283439884,26093.24615,3.557428114,694.7160648,3.750280895,7005.910052,31.87113488,3.969924529,1.018440249,9.013749066,7.380112388,0.964701374,7.389756686,0.655541896,1.020087865,1.007677033,0.993047243,1.001808185,0.986530213,0.998465384,30.48445742,266.5743443,1.42215859,4.122727428,41.09854056,1.038400812,1.019033675,1.009959747,1.055304986,2.299632558,12.42681035,4.336560006,0.713581555,0.297836714,3.522571005,49.78625251,65.79512235,65.51093697,113.7488908,42.6439032,3.70951831,1.665576846,10291.75466,56.19903802,8.122289881,1215.895445,7.507422582,32.56655226,109.3702761,1.837008569,2.132123678,10.40324803,81.55200287,1.395760364,5.069694892,635.8580263,630.1143435,2678.314054,678.4177697,1.216600693,172.7527444,665.4648411,834.7662356,97.92213125,1046.886373,29.96840405,10.33118491,7015.977247
9,2002,1.548435298,10.48962837,8.793458058,9.048557074,19.23509747,16.58668454,467.3401975,0.960009058,63.81198964,34.70493916,6.576369053,3011.238143,2.32185175,25986.12451,3.595128974,714.300515,4.007949212,6949.042794,33.54766452,3.957699884,1.01361729,8.853983505,7.264725164,0.960352334,7.342130955,0.64445261,1.014238231,1.003899174,0.982752503,0.998973515,0.985602651,0.997497147,30.01117806,264.9584501,1.422806474,4.089823007,41.08320109,1.033551453,1.018060737,1.007307581,1.034793509,2.240742887,12.40649413,4.41923291,0.710956677,0.297531618,3.524819626,49.62031395,65.50735575,65.4127772,114.7227607,43.21899779,3.712128394,1.68017573,10303.93416,56.65787186,8.140572275,1223.824608,7.576763673,33.42377011,110.8042289,1.818949106,2.10510793,10.35093639,80.95965049,1.39322616,5.054347285,632.2334878,623.0580913,2679.788315,676.9181817,1.217564731,174.9829603,674.9801643,797.7925305,98.41418717,1044.914131,30.10426123,10.27622724,8656.771916
10,2002,1.548380157,10.52305191,8.724008105,9.051624158,19.2608991,16.68229551,469.1541183,0.963410418,64.68515025,35.19580681,6.653226972,3087.414779,2.266967757,25862.00388,3.571368029,724.275609,4.512787897,7277.629253,31.03609741,3.956941409,1.012095556,8.771643379,7.226190057,0.958875557,7.334137621,0.643354778,1.010581154,1.006180613,0.98586607,0.998202245,0.987725826,0.996681152,30.58244708,252.664434,1.400328681,3.918018727,40.80968588,1.024500685,1.012119478,1.005892358,1.030642905,2.178453229,11.99798678,4.419710154,0.71622175,0.297219307,3.530676451,49.42233736,65.38244529,65.31523536,114.1802039,43.88186406,3.721866266,1.702347128,10528.44418,57.59878959,8.159558368,1260.190996,7.672206391,33.77060346,114.433651,1.808659687,2.057229277,10.32338107,81.22291824,1.38892014,5.058797447,639.8103913,631.4113784,2704.662562,674.1136762,1.211504292,181.6246893,673.8581656,797.2753489,98.98022851,1043.25102,30.03387093,9.877013946,6977.363013
11,2002,1.525415732,10.54218494,8.564496702,9.069582908,19.22598428,16.79898064,468.4782281,0.963410418,64.40143829,36.93924737,6.643637698,2958.853179,2.099790678,25685.57986,3.554046815,692.8470067,4.116319055,7480.29847,31.10052253,3.808589304,1.001861459,8.698940392,7.034415432,0.942580334,7.185586595,0.640446419,0.989281888,0.986774908,0.969099687,0.978151007,0.97089774,0.97757797,30.13478844,246.7830837,1.369847068,3.877201811,40.28694113,1.002399039,0.984003662,0.982394841,1.009709789,2.056055263,11.90983032,4.352632155,0.718347872,0.295938714,3.52709938,49.22591801,64.92018767,65.11029811,112.1474125,43.74780697,3.711099242,1.67918177,10186.5304,57.98321754,8.164336246,1229.258398,7.680591316,33.40787714,113.2233484,1.767280513,1.985845403,10.0722721,79.23388405,1.37301568,5.039142781,626.0383947,622.1317269,2695.14491,661.6903507,1.207602555,176.1948115,657.1440744,812.7292357,98.82596248,1049.813527,29.36093765,9.405345378,6943.869814
12,2002,1.528594096,10.47393053,8.537663558,9.025139781,19.14226916,16.73290595,468.0837947,0.960316346,64.53074886,37.83038901,6.583131867,3031.326477,2.004057331,25539.51612,3.478933413,687.0133909,4.078510696,7675.577056,30.71241559,3.735285968,0.969657861,8.447368804,6.822243862,0.924042595,7.030971864,0.628057453,0.96308378,0.966744858,0.95304559,0.957017717,0.942857766,0.955573738,29.94635057,239.8422625,1.305534273,3.787214701,39.63891603,0.979310907,0.963614716,0.96217743,0.982897726,1.996311517,11.74581316,4.361660422,0.713382652,0.294162495,3.515748909,49.38097239,64.7309997,64.59848027,109.3841251,43.5659346,3.695789647,1.66389263,9880.198567,57.87567747,8.149029134,1216.890531,7.645936001,33.40989407,112.7152097,1.749489709,1.929818646,9.936762165,78.45166932,1.352965515,5.01632521,606.5858512,604.265551,2725.761102,636.4971562,1.203431789,176.5616038,636.7828924,810.2302964,97.34947383,1021.259148,28.45882295,8.423495022,6605.923803
1,2003,1.503668164,10.86774651,8.621156817,8.958148304,19.15711853,16.73319833,470.7865804,0.963597484,66.74235316,38.5822761,6.618701891,3116.156434,2.44834571,25030.61778,3.466525912,709.5354809,3.799052073,7524.167937,30.92716138,3.461462543,0.933856329,8.166084399,6.459461991,0.889587194,6.775183588,0.619489589,0.931877058,0.927740073,0.913719588,0.920730783,0.908776802,0.919311798,28.93675323,239.5813585,1.296517716,3.81913626,38.84560361,0.947931119,0.926999314,0.923589675,0.952244374,2.043246714,12.20703177,4.505511552,0.71816288,0.293839061,3.531272236,49.4874725,64.63882626,64.51820453,105.4854292,42.89496694,3.704950325,1.649893736,9818.851125,57.60877392,8.182287659,1185.21524,7.630751871,33.05835424,110.1993172,1.692327826,1.823552077,9.72064842,79.17873242,1.328412897,5.080455981,588.1467485,584.9688107,2716.522936,610.8724022,1.198647136,173.8193193,614.6098163,785.4723974,93.87778129,1045.8723,28.66106453,8.15418679,6034.082608
2,2003,1.475527627,11.27178946,8.667403884,9.00477967,19.13992001,16.69511341,474.7279214,0.941885398,69.63130757,40.7693373,6.644379981,3147.110721,2.335113142,25031.93377,3.466990195,731.5990706,3.936246112,7291.721696,31.50182273,3.363321239,0.924751928,8.017136776,6.589215076,0.877011724,6.670979441,0.623728805,0.916159432,0.914350213,0.902034872,0.907762242,0.897202946,0.911369528,28.82884632,239.2433611,1.304982144,3.985622457,38.37487846,0.938651116,0.920817517,0.915018718,0.944064305,1.974797563,11.94934898,4.550187045,0.717867022,0.296352024,3.562090747,49.56414984,64.60211772,64.65121307,107.5947051,43.37556016,3.726355997,1.675456912,9884.485918,58.45081914,8.2439706,1201.489063,7.672931144,33.85521968,111.9546852,1.664504072,1.791812185,9.633325339,79.5860267,1.327762696,6.116987835,584.4137136,582.1620109,2716.489966,602.9431274,1.07705372,178.2948542,607.1049129,769.9032643,92.47657584,1061.037978,28.2279375,7.842850045,6327.42029
3,2003,1.44437103,11.28954246,8.770277668,9.032793212,19.26261517,16.84057882,478.6974056,0.974915835,71.94295529,38.5791801,6.652987315,3140.824363,2.2571743,25040.94008,3.444341786,725.6205939,3.755001009,7149.106521,31.56687262,3.263953054,0.921806978,8.071593174,6.925068304,0.879029069,6.657838881,0.635940069,0.913662391,0.916353493,0.899017369,0.908116665,0.900774693,0.913394654,29.06027035,237.5375627,1.324999908,3.954842949,37.91161277,0.936923797,0.924554046,0.916594672,0.927755975,1.968403341,12.1603923,4.488776296,0.717767119,0.298579017,3.583518685,49.46493429,64.77489865,64.87659346,110.8779171,43.52063843,3.755961087,1.687531992,10001.11684,59.41639351,8.287372587,1239.354628,7.701446522,33.95026557,111.6035932,1.651915528,1.801253385,9.723399023,80.83606924,1.336054168,6.320656297,585.444835,586.6332546,2814.460166,603.8475552,1.06325243,186.2614339,607.5186531,769.5082378,90.31336735,1080.708696,27.68265267,7.605628587,6600.188619
4,2003,1.434060806,10.92693102,8.724505171,9.016881588,19.20567913,16.89976895,477.0583832,0.97766768,73.19576817,41.28711627,6.600925227,3064.31362,2.215565801,24745.64641,3.424765229,700.3325169,3.357517714,7060.271005,31.23699388,3.06110263,0.914333046,7.990875287,6.928446924,0.87286939,6.592608658,0.633446567,0.903704224,0.911072143,0.890741868,0.902325347,0.896131467,0.906757068,28.70591264,222.0485979,1.253457232,3.728398782,37.15826692,0.921699134,0.909841668,0.906815456,0.919357149,1.879592992,11.88799868,4.335376076,0.718830318,0.297499958,3.579356552,48.4790184,64.29651997,64.57323045,111.5853339,43.39726267,3.740624391,1.703392414,9817.836001,57.09605069,8.262506507,1232.765071,7.669147281,33.92743752,112.1993355,1.627212176,1.809439799,9.632966848,80.4439971,1.335532253,6.471278053,582.9542746,586.837728,2803.864145,595.4375881,1.052362456,173.1972817,601.4337997,759.7521091,87.49457713,1075.982617,27.28334551,7.273706433,6556.718882
